,name,月齢,頭囲
0,男子 (3 %ile),0.0,311.0
1,男子 (3 %ile),1.0,344.0
2,男子 (3 %ile),1.5,356.0
3,男子 (3 %ile),2.5,373.0
4,男子 (3 %ile),3.5,385.0
5,男子 (3 %ile),4.5,395.0
6,男子 (3 %ile),5.5,404.0
7,男子 (3 %ile),6.5,411.0
8,男子 (3 %ile),7.5,417.0
9,男子 (3 %ile),8.5,422.0
10,男子 (3 %ile),9.5,427.0
11,男子 (3 %ile),10.5,431.0
12,男子 (3 %ile),11.5,434.0
13,男子 (3 %ile),15.0,444.0
14,男子 (3 %ile),21.0,455.0
15,男子 (3 %ile),27.0,463.0
16,男子 (3 %ile),33.0,470.0
17,男子 (10 %ile),0.0,320.0
18,男子 (10 %ile),1.0,352.0
19,男子 (10 %ile),1.5,364.0
20,男子 (10 %ile),2.5,381.0
21,男子 (10 %ile),3.5,393.0
22,男子 (10 %ile),4.5,403.0
23,男子 (10 %ile),5.5,412.0
24,男子 (10 %ile),6.5,419.0
25,男子 (10 %ile),7.5,425.0
26,男子 (10 %ile),8.5,430.0
27,男子 (10 %ile),9.5,435.0
28,男子 (10 %ile),10.5,438.0
29,男子 (10 %ile),11.5,442.0
30,男子 (10 %ile),15.0,451.0
31,男子 (10 %ile),21.0,462.0
32,男子 (10 %ile),27.0,471.0
33,男子 (10 %ile),33.0,478.0
34,男子 (25 %ile),0.0,328.0
35,男子 (25 %ile),1.0,360.0
36,男子 (25 %ile),1.5,372.0
37,男子 (25 %ile),2.5,388.0
38,男子 (25 %ile),3.5,401.0
39,男子 (25 %ile),4.5,411.0
40,男子 (25 %ile),5.5,419.0
41,男子 (25 %ile),6.5,427.0
42,男子 (25 %ile),7.5,433.0
43,男子 (25 %ile),8.5,438.0
44,男子 (25 %ile),9.5,443.0
45,男子 (25 %ile),10.5,446.0
46,男子 (25 %ile),11.5,450.0
47,男子 (25 %ile),15.0,459.0
48,男子 (25 %ile),21.0,470.0
49,男子 (25 %ile),27.0,479.0
50,男子 (25 %ile),33.0,486.0
51,男子 (50 %ile),0.0,337.0
52,男子 (50 %ile),1.0,368.0
53,男子 (50 %ile),1.5,380.0
54,男子 (50 %ile),2.5,397.0
55,男子 (50 %ile),3.5,409.0
56,男子 (50 %ile),4.5,420.0
57,男子 (50 %ile),5.5,428.0
58,男子 (50 %ile),6.5,435.0
59,男子 (50 %ile),7.5,442.0
60,男子 (50 %ile),8.5,447.0
61,男子 (50 %ile),9.5,451.0
62,男子 (50 %ile),10.5,455.0
63,男子 (50 %ile),11.5,459.0
64,男子 (50 %ile),15.0,468.0
65,男子 (50 %ile),21.0,479.0
66,男子 (50 %ile),27.0,488.0
67,男子 (50 %ile),33.0,495.0
68,男子 (75 %ile),0.0,346.0
69,男子 (75 %ile),1.0,376.0
70,男子 (75 %ile),1.5,388.0
71,男子 (75 %ile),2.5,405.0
72,男子 (75 %ile),3.5,418.0
73,男子 (75 %ile),4.5,428.0
74,男子 (75 %ile),5.5,437.0
75,男子 (75 %ile),6.5,444.0
76,男子 (75 %ile),7.5,450.0
